📺央视频道,#genre#
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV1,https://wyzy.online:55734/allinone/migu/608807420.m3u8
CCTV1,http://61.145.188.90:5000/udp/239.77.1.17:5146
CCTV1,http://111.72.202.55:7088/udp/239.252.219.200:5140
CCTV1,http://sd.playsth.fun:8888/udp/239.3.1.129:8008
CCTV1,http://ikuai.sunjianwu.fun:8800/udp/239.49.8.19:9614
CCTV1,http://nxlj.cn:1688/udp/239.45.3.145:5140
CCTV1,http://123.113.15.147:4022/udp/239.3.1.129:8008
CCTV1,http://119.32.12.17:2901/udp/224.1.100.90:11111
CCTV1,http://47.95.13.67:35455/bptv/10000100000000050000000003864351.m3u8
CCTV2,https://wyzy.online:55734/allinone/migu/631780532.m3u8
CCTV2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV2,http://111.72.202.55:7088/udp/239.252.220.183:5140
CCTV2,http://sd.playsth.fun:8888/udp/239.3.1.60:8084
CCTV2,http://nxlj.cn:1688/udp/239.45.1.109:5140
CCTV2,http://123.113.15.147:4022/udp/239.3.1.60:8084
CCTV2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV2,http://61.145.188.90:5000/udp/239.77.1.158:5146
CCTV2,http://119.32.12.17:2901/udp/224.1.100.94:11111
CCTV2,http://47.95.13.67:35455/bptv/10000100000000050000000003870745.m3u8
CCTV3,https://wyzy.online:55734/allinone/migu/624878271.m3u8
CCTV3,http://sd.playsth.fun:8888/udp/239.3.1.172:8001
CCTV3,http://61.145.188.90:5000/udp/239.77.0.169:5146
CCTV3,http://119.32.12.17:2901/udp/224.1.100.64:11111
CCTV3,http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111
CCTV3,http://47.95.13.67:35455/bptv/10000100000000050000000003870746.m3u8
CCTV3,http://223.72.11.189:8022/udp/228.1.1.191:8002
CCTV4,https://wyzy.online:55734/allinone/migu/631780421.m3u8
CCTV4,http://sd.playsth.fun:8888/udp/239.3.1.105:8092
CCTV4,http://111.72.202.55:7088/udp/239.252.219.192:5140
CCTV4,http://111.72.202.55:7088/udp/239.252.219.193:5140
CCTV4,http://sd.playsth.fun:8888/udp/239.3.1.214:4220
CCTV4,http://sd.playsth.fun:8888/udp/239.3.1.213:4220
CCTV4,http://123.113.15.147:4022/udp/239.3.1.214:4220
CCTV4,http://123.113.15.147:4022/udp/239.3.1.213:4220
CCTV4,http://61.145.188.90:5000/udp/239.77.1.163:5146
CCTV4,http://119.32.12.17:2901/udp/224.1.100.104:11111
CCTV5,https://wyzy.online:55734/allinone/migu/641886683.m3u8
CCTV5,http://171.213.132.103:8188/udp/239.93.42.37:5140
